turk_uydu,cop_parca,cop_kaynak,mesafe_t0_km,hiz_t0_km_s,tahmin_t24_km,gercek_t24_km,hata_km,hiz_t24_km_s,delta_mesafe_km,cop_inclination_deg,cop_eccentricity,cop_sma_km,cop_perigee_km,cop_apogee_km,roket_govdesi,malzeme,yanma_orani,yere_dusme_riski,orbital_risk_skoru,bilesik_risk_skoru,risk_sinifi,trend,hesap_utc
TURKSAT 3A,TURKSAT 5B,aktif_uydular,26.11,0.006,1515.34,29.03,-1486.31,0.006,2.92,0.078,0.0005,42164.7154,35771.4229,35816.0079,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 4A,TURKSAT 5B,aktif_uydular,37.8,0.001,1515.34,40.06,-1475.28,0.002,2.26,0.078,0.0005,42164.7154,35771.4229,35816.0079,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 5B,TURKSAT 5B,aktif_uydular,0.0,0.0,1515.34,0.0,-1515.34,0.0,0.0,0.078,0.0005,42164.7154,35771.4229,35816.0079,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 6A,TURKSAT 5B,aktif_uydular,39.07,0.004,1515.34,35.9,-1479.44,0.004,-3.17,0.078,0.0005,42164.7154,35771.4229,35816.0079,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-33826,aktif_uydular,11954.55,15.108,1610.4,2433.65,823.25,8.269,-9520.9,42.999,0.0001,6861.1628,489.2029,491.1227,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-30261,aktif_uydular,11848.42,15.096,1624.82,2624.83,1000.01,8.518,-9223.59,43.0014,0.0002,6861.1954,489.16,491.2308,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-35814,aktif_uydular,11374.35,15.144,1626.51,1414.58,-211.93,9.234,-9959.77,43.0009,0.0003,6861.0331,488.1086,491.9576,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31519,aktif_uydular,11251.7,15.094,1648.98,1189.56,-459.42,9.376,-10062.14,42.9991,0.0001,6861.195,489.4245,490.9655,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-31948,aktif_uydular,10523.61,15.092,1653.81,2356.83,703.02,10.56,-8166.78,43.0015,0.0002,6861.2896,488.6765,491.9027,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 3A,TURKSAT 6A,aktif_uydular,57.23,0.001,1662.91,57.47,-1605.44,0.001,0.24,0.031,0.0002,42164.6456,35787.1565,35800.1348,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 4A,TURKSAT 6A,aktif_uydular,14.62,0.003,1662.91,21.64,-1641.27,0.003,7.02,0.031,0.0002,42164.6456,35787.1565,35800.1348,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 5B,TURKSAT 6A,aktif_uydular,39.07,0.004,1662.91,35.9,-1627.01,0.004,-3.17,0.031,0.0002,42164.6456,35787.1565,35800.1348,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 6A,TURKSAT 6A,aktif_uydular,0.0,0.0,1662.91,0.0,-1662.91,0.0,0.0,0.031,0.0002,42164.6456,35787.1565,35800.1348,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-5757,aktif_uydular,11063.01,15.132,1666.57,1801.76,135.19,9.781,-9261.26,43.0,0.0002,6861.7979,489.6759,491.9198,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-32870,aktif_uydular,10807.69,15.082,1672.19,2696.89,1024.7,10.217,-8110.8,42.9985,0.0002,6861.3004,489.2506,491.3502,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-33789,aktif_uydular,11938.15,15.144,1675.42,1604.61,-70.81,8.162,-10333.53,42.9997,0.0001,6861.1519,489.214,491.0899,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 5A,ARABSAT-5A,aktif_uydular,290.12,0.022,1699.49,296.08,-1403.41,0.023,5.96,0.0664,0.0004,42165.3885,35779.0277,35809.7494,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 5A,ARABSAT-6A,aktif_uydular,301.65,0.023,1699.49,307.68,-1391.81,0.023,6.03,0.0254,0.0003,42165.372,35783.0801,35805.6639,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 4B,YAMAL 601,aktif_uydular,737.44,0.054,1702.12,725.69,-976.43,0.053,-11.75,0.0235,0.0003,42164.6181,35782.6806,35804.5556,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
GOKTURK 2,STARLINK-34078,aktif_uydular,11717.39,15.155,1707.16,1288.45,-418.71,8.583,-10428.95,43.0005,0.0002,6861.1635,488.9257,491.4012,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,YAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 4B,TURKSAT 4B,aktif_uydular,0.0,0.0,1716.45,0.0,-1716.45,0.0,0.0,0.0225,0.0002,42165.8559,35784.9511,35804.7606,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 3A,TURKSAT 3A,aktif_uydular,0.0,0.0,1720.51,0.0,-1720.51,0.0,0.0,0.056,0.0005,42164.6874,35773.1321,35814.2427,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 4A,TURKSAT 3A,aktif_uydular,60.33,0.004,1720.51,65.39,-1655.12,0.004,5.06,0.056,0.0005,42164.6874,35773.1321,35814.2427,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
TURKSAT 5B,TURKSAT 3A,aktif_uydular,26.11,0.006,1720.51,29.03,-1691.48,0.006,2.92,0.056,0.0005,42164.6874,35773.1321,35814.2427,False,Karma Malzeme (tahmin edilemiyor),%70,0.4,0.8,0.32,YUKSEK,UZAKLASYOR,2026-03-28T18:22:13.487870+00:00
